change_point_date,change_point_index,mean_before,mean_after,mean_change_absolute,mean_change_percent,variance_before,variance_after,variance_change_percent,volatility_before,volatility_after,volatility_change_percent,t_statistic,p_value,effect_size_cohens_d,mean_diff_ci_lower,mean_diff_ci_upper,statistical_significance
1998-08-05,2847,18.323048823322797,62.322185269305635,43.99913644598284,240.1299962153559,14.161899415394785,960.305962431352,6680.912180377762,0.35937985612921236,0.42480011509147414,18.203652165395827,-109.73513941582853,0.0,1.7108335730285142,43.213168425790926,44.78510446617476,Significant
1998-10-16,2898,18.226490683229816,62.73504007852118,44.50854939529137,244.19703259851144,14.451897759837225,947.7058254933214,6457.656587683994,0.35974315471909074,0.42517909485098904,18.189627592217743,-111.26509116211797,0.0,1.7489983371481084,43.72441418673376,45.292684603848976,Significant
1999-01-12,2957,18.07840040581671,63.24113643871821,45.1627360329015,249.81599599027814,15.259762968173042,930.3917586289942,5997.0262812698475,0.36509951365331517,0.4235105392800527,15.99865884297027,-113.31739998283821,0.0,1.79915226545095,44.38148593352923,45.94398613227377,Significant
1999-03-25,3008,17.960422207446808,63.683944694319514,45.72352248687271,254.57932981060253,15.825189944727814,915.0093347533553,5681.980108606482,0.3664680902973047,0.42341066566329466,15.538208338901793,-115.1443395456423,0.0,1.843927212412077,44.945121227281525,46.501923746463895,Significant
1999-06-10,3059,17.913644982020266,64.09976982526882,46.18612484324856,257.82650537958676,15.702967645013237,902.488468758975,5647.247839777449,0.3671481440764285,0.4235665446640558,15.366658254408282,-116.65203726458097,0.0,1.8832202726763458,45.410010624865244,46.96223906163187,Significant
1999-08-23,3110,17.92391318327974,64.49352652092867,46.56961333764893,259.81833800161024,15.499026206677224,892.1670502225592,5656.278093382407,0.36620674046339274,0.4244628629779306,15.907987504768869,-117.84197671614945,0.0,1.9178429222491644,45.794957040290186,47.34426963500768,Significant
1999-11-03,3161,17.990199304017718,64.86370085470085,46.87350155068313,260.5502071353648,15.53360049824002,884.0794513893821,5591.400725089779,0.36637733769121295,0.4248436451401916,15.957948659546926,-118.66183213484719,0.0,1.9472766531897974,46.09917742566912,47.64782567569714,Significant
2000-01-20,3212,18.101905354919055,65.214062769443,47.11215741452395,260.2607653217101,16.077513092254094,877.763555274431,5359.572946622724,0.3664270184399997,0.4253168336824326,16.07136272132613,-119.139601773068,0.0,1.9722038069866947,46.33701180621618,47.887303022831716,Significant
2000-03-31,3263,18.2501593625498,65.54791231732776,47.297752954777955,259.1635065490727,17.253813218004744,872.8532519832622,4958.900551168713,0.36661689800822533,0.4257092474736095,16.118283086901897,-119.31515661548079,0.0,1.9932638739027153,46.520698713117575,48.074807196438336,Significant
2000-06-16,3314,18.373349426674714,65.89966473582588,47.526315309151165,258.6698494948979,18.097407914688777,866.6407176368759,4688.75605679124,0.36690098617319816,0.42598857790367145,16.104506108517402,-119.72344349769557,0.0,2.0181170376841076,46.74816877412815,48.30446184417418,Significant
2000-08-28,3365,18.538576523031203,66.23049238398866,47.69191586095746,257.2577015376985,19.659485398794686,862.2054704041047,4285.697046052722,0.36854976625188585,0.42571118354382304,15.509823238598974,-119.77254274952962,0.0,2.038050713783832,46.91137805736665,48.47245366454827,Significant
2000-11-07,3416,18.741293911007023,66.54144950848973,47.800155597482714,255.0525904159105,22.153697593239635,859.3134271977989,3778.8713422721125,0.3713354207226259,0.42469969336197216,14.370908257418154,-119.47379743109803,0.0,2.053239546465191,47.015890143852715,48.58442105111271,Significant
2001-01-22,3467,18.87737525237958,66.89606962481963,48.01869437244005,254.37166836203608,23.31038681904116,853.2698995953681,3560.4707859175123,0.37290804120733506,0.424172048997193,13.747091005032905,-119.81026330444513,0.0,2.0780449491246826,47.233055855129514,48.80433288975059,Significant
